date,code,faction,long,short,net
20260611,AL,主力(国君+东证+中财),93948.0,82193.0,11755.0
20260611,AL,偏产业(金瑞+五矿+光大),26734.0,11714.0,15020.0
20260612,AL,杭州帮(永安),16861.0,12825.0,4036.0
20260612,AL,外资(高盛+摩根),0.0,0.0,0.0
20260612,AL,主力(国君+东证+中财),91517.0,78916.0,12601.0
20260612,AL,偏产业(金瑞+五矿+光大),22590.0,10133.0,12457.0
20260615,AL,杭州帮(永安),14694.0,12637.0,2057.0
20260615,AL,外资(高盛+摩根),0.0,0.0,0.0
20260615,AL,主力(国君+东证+中财),95254.0,76963.0,18291.0
20260615,AL,偏产业(金瑞+五矿+光大),19396.0,10747.0,8649.0
20260616,AL,杭州帮(永安),12003.0,13944.0,-1941.0
20260616,AL,外资(高盛+摩根),0.0,0.0,0.0
20260616,AL,主力(国君+东证+中财),94928.0,91117.0,3811.0
20260616,AL,偏产业(金瑞+五矿+光大),18104.0,9692.0,8412.0
20260617,AL,杭州帮(永安),11889.0,14772.0,-2883.0
20260617,AL,外资(高盛+摩根),0.0,0.0,0.0
20260617,AL,主力(国君+东证+中财),94345.0,83815.0,10530.0
20260617,AL,偏产业(金瑞+五矿+光大),17956.0,10655.0,7301.0
20260618,AL,杭州帮(永安),11669.0,14563.0,-2894.0
20260618,AL,外资(高盛+摩根),0.0,0.0,0.0
20260618,AL,主力(国君+东证+中财),93553.0,79485.0,14068.0
20260618,AL,偏产业(金瑞+五矿+光大),20381.0,10833.0,9548.0
20260622,AL,杭州帮(永安),11128.0,14554.0,-3426.0
20260622,AL,外资(高盛+摩根),0.0,0.0,0.0
20260622,AL,主力(国君+东证+中财),94969.0,73976.0,20993.0
20260622,AL,偏产业(金瑞+五矿+光大),16677.0,10801.0,5876.0
20260623,AL,杭州帮(永安),9088.0,19289.0,-10201.0
20260623,AL,外资(高盛+摩根),0.0,0.0,0.0
20260623,AL,主力(国君+东证+中财),98766.0,94066.0,4700.0
20260623,AL,偏产业(金瑞+五矿+光大),17092.0,9122.0,7970.0
20260624,AL,杭州帮(永安),9749.0,19859.0,-10110.0
20260624,AL,外资(高盛+摩根),0.0,0.0,0.0
20260624,AL,主力(国君+东证+中财),93216.0,104490.0,-11274.0
20260624,AL,偏产业(金瑞+五矿+光大),17295.0,11255.0,6040.0
20260625,AL,杭州帮(永安),9980.0,23059.0,-13079.0
20260625,AL,外资(高盛+摩根),0.0,0.0,0.0
20260625,AL,主力(国君+东证+中财),92295.0,105648.0,-13353.0
20260625,AL,偏产业(金瑞+五矿+光大),18078.0,8873.0,9205.0
20260626,AL,杭州帮(永安),10054.0,23417.0,-13363.0
20260626,AL,外资(高盛+摩根),0.0,0.0,0.0
20260626,AL,主力(国君+东证+中财),90924.0,96757.0,-5833.0
20260626,AL,偏产业(金瑞+五矿+光大),17182.0,9338.0,7844.0
20260629,AL,杭州帮(永安),9930.0,23935.0,-14005.0
20260629,AL,外资(高盛+摩根),0.0,0.0,0.0
20260629,AL,主力(国君+东证+中财),89677.0,93059.0,-3382.0
20260629,AL,偏产业(金瑞+五矿+光大),16266.0,8804.0,7462.0
20260630,AL,杭州帮(永安),10477.0,26430.0,-15953.0
20260630,AL,外资(高盛+摩根),0.0,0.0,0.0
20260630,AL,主力(国君+东证+中财),94396.0,104111.0,-9715.0
20260630,AL,偏产业(金瑞+五矿+光大),22132.0,10532.0,11600.0
20260701,AL,杭州帮(永安),10725.0,27442.0,-16717.0
20260701,AL,外资(高盛+摩根),0.0,0.0,0.0
20260701,AL,主力(国君+东证+中财),91024.0,108213.0,-17189.0
20260701,AL,偏产业(金瑞+五矿+光大),19475.0,10750.0,8725.0
20260702,AL,杭州帮(永安),11182.0,26675.0,-15493.0
20260702,AL,外资(高盛+摩根),0.0,0.0,0.0
20260702,AL,主力(国君+东证+中财),92112.0,109416.0,-17304.0
20260702,AL,偏产业(金瑞+五矿+光大),19281.0,10436.0,8845.0
20260703,AL,杭州帮(永安),12745.0,26327.0,-13582.0
20260703,AL,外资(高盛+摩根),0.0,0.0,0.0
20260703,AL,主力(国君+东证+中财),91462.0,95584.0,-4122.0
20260703,AL,偏产业(金瑞+五矿+光大),21903.0,9958.0,11945.0
20260706,AL,杭州帮(永安),12855.0,26282.0,-13427.0
20260706,AL,外资(高盛+摩根),0.0,0.0,0.0
20260706,AL,主力(国君+东证+中财),89874.0,93526.0,-3652.0
20260706,AL,偏产业(金瑞+五矿+光大),21403.0,13756.0,7647.0
20260707,AL,杭州帮(永安),12824.0,23464.0,-10640.0
20260707,AL,外资(高盛+摩根),0.0,0.0,0.0
20260707,AL,主力(国君+东证+中财),90220.0,87849.0,2371.0
20260707,AL,偏产业(金瑞+五矿+光大),20830.0,12626.0,8204.0
20260708,AL,杭州帮(永安),13291.0,19956.0,-6665.0
20260708,AL,外资(高盛+摩根),0.0,0.0,0.0
20260708,AL,主力(国君+东证+中财),86086.0,86184.0,-98.0
20260708,AL,偏产业(金瑞+五矿+光大),20469.0,12680.0,7789.0
20260709,AL,杭州帮(永安),11675.0,20775.0,-9100.0
20260709,AL,外资(高盛+摩根),0.0,0.0,0.0
20260709,AL,主力(国君+东证+中财),88370.0,82504.0,5866.0
20260709,AL,偏产业(金瑞+五矿+光大),20450.0,15433.0,5017.0
20260710,AL,杭州帮(永安),11166.0,20812.0,-9646.0
20260710,AL,外资(高盛+摩根),0.0,0.0,0.0
20260710,AL,主力(国君+东证+中财),88947.0,84567.0,4380.0
20260710,AL,偏产业(金瑞+五矿+光大),20544.0,15657.0,4887.0
20260713,AL,杭州帮(永安),11535.0,20215.0,-8680.0
20260713,AL,外资(高盛+摩根),0.0,0.0,0.0
20260713,AL,主力(国君+东证+中财),88388.0,84902.0,3486.0
20260713,AL,偏产业(金瑞+五矿+光大),20555.0,12594.0,7961.0
20260714,AL,杭州帮(永安),11825.0,20424.0,-8599.0
20260714,AL,外资(高盛+摩根),0.0,0.0,0.0
20260714,AL,主力(国君+东证+中财),89972.0,75987.0,13985.0
20260714,AL,偏产业(金瑞+五矿+光大),19456.0,13292.0,6164.0
20260715,AL,杭州帮(永安),12159.0,21783.0,-9624.0
20260715,AL,外资(高盛+摩根),0.0,0.0,0.0
20260715,AL,主力(国君+东证+中财),91176.0,80581.0,10595.0
20260715,AL,偏产业(金瑞+五矿+光大),20202.0,12488.0,7714.0
20260716,AL,杭州帮(永安),12439.0,22021.0,-9582.0
20260716,AL,外资(高盛+摩根),0.0,0.0,0.0
20260716,AL,主力(国君+东证+中财),89986.0,79311.0,10675.0
20260716,AL,偏产业(金瑞+五矿+光大),19549.0,10739.0,8810.0
20260717,AL,杭州帮(永安),12587.0,22952.0,-10365.0
20260717,AL,外资(高盛+摩根),0.0,0.0,0.0
20260717,AL,主力(国君+东证+中财),90835.0,80783.0,10052.0
20260717,AL,偏产业(金瑞+五矿+光大),20517.0,12586.0,7931.0
20260720,AL,杭州帮(永安),12435.0,23552.0,-11117.0
20260720,AL,外资(高盛+摩根),0.0,0.0,0.0
20260720,AL,主力(国君+东证+中财),93555.0,86561.0,6994.0
20260720,AL,偏产业(金瑞+五矿+光大),20725.0,12508.0,8217.0
20260721,AL,杭州帮(永安),10676.0,24031.0,-13355.0
20260721,AL,外资(高盛+摩根),0.0,0.0,0.0
20260721,AL,主力(国君+东证+中财),94213.0,86874.0,7339.0
20260721,AL,偏产业(金瑞+五矿+光大),18776.0,10595.0,8181.0
20260722,AL,杭州帮(永安),10446.0,23566.0,-13120.0
20260722,AL,外资(高盛+摩根),0.0,0.0,0.0
20260722,AL,主力(国君+东证+中财),95480.0,89596.0,5884.0
20260722,AL,偏产业(金瑞+五矿+光大),18290.0,10316.0,7974.0
20260723,AL,杭州帮(永安),12001.0,22667.0,-10666.0
20260723,AL,外资(高盛+摩根),0.0,0.0,0.0
20260723,AL,主力(国君+东证+中财),95254.0,88874.0,6380.0
20260723,AL,偏产业(金瑞+五矿+光大),18085.0,8395.0,9690.0
20260724,AL,杭州帮(永安),12175.0,23110.0,-10935.0
20260724,AL,外资(高盛+摩根),0.0,0.0,0.0
20260724,AL,主力(国君+东证+中财),89654.0,90851.0,-1197.0
20260724,AL,偏产业(金瑞+五矿+光大),18114.0,8401.0,9713.0
20260727,AL,杭州帮(永安),12287.0,23492.0,-11205.0
20260727,AL,外资(高盛+摩根),0.0,0.0,0.0
20260727,AL,主力(国君+东证+中财),90242.0,99702.0,-9460.0
20260727,AL,偏产业(金瑞+五矿+光大),18213.0,7161.0,11052.0
20260728,AL,杭州帮(永安),12026.0,23168.0,-11142.0
20260728,AL,外资(高盛+摩根),0.0,0.0,0.0
20260728,AL,主力(国君+东证+中财),91946.0,99671.0,-7725.0
20260728,AL,偏产业(金瑞+五矿+光大),17732.0,6628.0,11104.0
20260729,AL,杭州帮(永安),10685.0,20771.0,-10086.0
20260729,AL,外资(高盛+摩根),0.0,0.0,0.0
20260729,AL,主力(国君+东证+中财),91546.0,94047.0,-2501.0
20260729,AL,偏产业(金瑞+五矿+光大),18358.0,7419.0,10939.0
20260730,AL,杭州帮(永安),11716.0,20428.0,-8712.0
20260730,AL,外资(高盛+摩根),0.0,0.0,0.0
20260730,AL,主力(国君+东证+中财),91848.0,88567.0,3281.0
20260730,AL,偏产业(金瑞+五矿+光大),16786.0,11072.0,5714.0
20260731,AL,杭州帮(永安),12092.0,20435.0,-8343.0
20260731,AL,外资(高盛+摩根),1324.0,0.0,1324.0
20260731,AL,主力(国君+东证+中财),90281.0,88810.0,1471.0
20260731,AL,偏产业(金瑞+五矿+光大),16316.0,11020.0,5296.0
20260803,AL,杭州帮(永安),10686.0,18881.0,-8195.0
20260803,AL,外资(高盛+摩根),1409.0,0.0,1409.0
20260803,AL,主力(国君+东证+中财),87406.0,88732.0,-1326.0
20260803,AL,偏产业(金瑞+五矿+光大),16081.0,10763.0,5318.0
20260804,AL,杭州帮(永安),10776.0,18740.0,-7964.0
20260804,AL,外资(高盛+摩根),2163.0,0.0,2163.0
20260804,AL,主力(国君+东证+中财),87105.0,84761.0,2344.0
20260804,AL,偏产业(金瑞+五矿+光大),15961.0,10986.0,4975.0
20260805,AL,杭州帮(永安),10840.0,19010.0,-8170.0
20260805,AL,外资(高盛+摩根),2450.0,0.0,2450.0
20260805,AL,主力(国君+东证+中财),86028.0,91278.0,-5250.0
20260805,AL,偏产业(金瑞+五矿+光大),15951.0,11382.0,4569.0
20260806,AL,杭州帮(永安),11996.0,18917.0,-6921.0
20260806,AL,外资(高盛+摩根),2481.0,0.0,2481.0
20260806,AL,主力(国君+东证+中财),85592.0,94937.0,-9345.0
20260806,AL,偏产业(金瑞+五矿+光大),15259.0,13735.0,1524.0
20260807,AL,杭州帮(永安),12725.0,18200.0,-5475.0
20260807,AL,外资(高盛+摩根),2546.0,0.0,2546.0
20260807,AL,主力(国君+东证+中财),91410.0,97083.0,-5673.0
20260807,AL,偏产业(金瑞+五矿+光大),17708.0,13908.0,3800.0
20260810,AL,杭州帮(永安),13470.0,17694.0,-4224.0
20260810,AL,外资(高盛+摩根),2608.0,0.0,2608.0
20260810,AL,主力(国君+东证+中财),92765.0,94153.0,-1388.0
20260810,AL,偏产业(金瑞+五矿+光大),17704.0,14921.0,2783.0
20260811,AL,杭州帮(永安),13438.0,17956.0,-4518.0
20260811,AL,外资(高盛+摩根),3294.0,0.0,3294.0
20260811,AL,主力(国君+东证+中财),94074.0,95150.0,-1076.0
20260811,AL,偏产业(金瑞+五矿+光大),18681.0,15308.0,3373.0
20260812,AL,杭州帮(永安),14374.0,18537.0,-4163.0
20260812,AL,外资(高盛+摩根),3844.0,0.0,3844.0
20260812,AL,主力(国君+东证+中财),94792.0,99238.0,-4446.0
20260812,AL,偏产业(金瑞+五矿+光大),18359.0,14159.0,4200.0
20260813,AL,杭州帮(永安),14134.0,19489.0,-5355.0
20260813,AL,外资(高盛+摩根),3324.0,0.0,3324.0
20260813,AL,主力(国君+东证+中财),93713.0,99816.0,-6103.0
20260813,AL,偏产业(金瑞+五矿+光大),18562.0,10350.0,8212.0
20260814,AL,杭州帮(永安),12425.0,19382.0,-6957.0
20260814,AL,外资(高盛+摩根),3328.0,0.0,3328.0
20260814,AL,主力(国君+东证+中财),91034.0,104578.0,-13544.0
20260814,AL,偏产业(金瑞+五矿+光大),19119.0,11100.0,8019.0
20260817,AL,杭州帮(永安),11802.0,21369.0,-9567.0
20260817,AL,外资(高盛+摩根),3304.0,0.0,3304.0
20260817,AL,主力(国君+东证+中财),94711.0,106520.0,-11809.0
20260817,AL,偏产业(金瑞+五矿+光大),20510.0,14260.0,6250.0
20260818,AL,杭州帮(永安),11101.0,21555.0,-10454.0
20260818,AL,外资(高盛+摩根),3304.0,0.0,3304.0
20260818,AL,主力(国君+东证+中财),91361.0,103774.0,-12413.0
20260818,AL,偏产业(金瑞+五矿+光大),22429.0,15957.0,6472.0
20260819,AL,杭州帮(永安),10558.0,23230.0,-12672.0
20260819,AL,外资(高盛+摩根),3824.0,0.0,3824.0
20260819,AL,主力(国君+东证+中财),87770.0,108143.0,-20373.0
20260819,AL,偏产业(金瑞+五矿+光大),21413.0,15321.0,6092.0
20260820,AL,杭州帮(永安),10250.0,22868.0,-12618.0
20260820,AL,外资(高盛+摩根),3824.0,0.0,3824.0
20260820,AL,主力(国君+东证+中财),87134.0,110191.0,-23057.0
20260820,AL,偏产业(金瑞+五矿+光大),22296.0,8505.0,13791.0
20260821,AL,杭州帮(永安),10798.0,22544.0,-11746.0
20260821,AL,外资(高盛+摩根),3764.0,0.0,3764.0
20260821,AL,主力(国君+东证+中财),87911.0,109042.0,-21131.0
20260821,AL,偏产业(金瑞+五矿+光大),19883.0,8373.0,11510.0
20260514,CU,杭州帮(永安),17789.0,751.0,17038.0
20260514,CU,外资(高盛+摩根),8050.0,1627.0,6423.0
20260514,CU,主力(国君+东证+中财),84326.0,65689.0,18637.0
20260514,CU,偏产业(金瑞+五矿+光大),26462.0,86886.0,-60424.0
20260515,CU,杭州帮(永安),16662.0,738.0,15924.0
20260515,CU,外资(高盛+摩根),8771.0,1627.0,7144.0
20260515,CU,主力(国君+东证+中财),77421.0,64251.0,13170.0
20260515,CU,偏产业(金瑞+五矿+光大),31773.0,82485.0,-50712.0
20260518,CU,杭州帮(永安),15944.0,742.0,15202.0
20260518,CU,外资(高盛+摩根),8024.0,1627.0,6397.0
20260518,CU,主力(国君+东证+中财),73274.0,63313.0,9961.0
20260518,CU,偏产业(金瑞+五矿+光大),30189.0,80973.0,-50784.0
20260519,CU,杭州帮(永安),14224.0,744.0,13480.0
20260519,CU,外资(高盛+摩根),7481.0,1627.0,5854.0
20260519,CU,主力(国君+东证+中财),71074.0,62396.0,8678.0
20260519,CU,偏产业(金瑞+五矿+光大),28697.0,79984.0,-51287.0
20260520,CU,杭州帮(永安),13777.0,725.0,13052.0
20260520,CU,外资(高盛+摩根),7222.0,1627.0,5595.0
20260520,CU,主力(国君+东证+中财),71007.0,62686.0,8321.0
20260520,CU,偏产业(金瑞+五矿+光大),30361.0,79429.0,-49068.0
20260521,CU,杭州帮(永安),13912.0,732.0,13180.0
20260521,CU,外资(高盛+摩根),6986.0,3872.0,3114.0
20260521,CU,主力(国君+东证+中财),71281.0,63415.0,7866.0
20260521,CU,偏产业(金瑞+五矿+光大),31506.0,79774.0,-48268.0
20260522,CU,杭州帮(永安),13576.0,731.0,12845.0
20260522,CU,外资(高盛+摩根),6345.0,1627.0,4718.0
20260522,CU,主力(国君+东证+中财),70623.0,62804.0,7819.0
20260522,CU,偏产业(金瑞+五矿+光大),30816.0,80154.0,-49338.0
20260525,CU,杭州帮(永安),14191.0,736.0,13455.0
20260525,CU,外资(高盛+摩根),5629.0,1627.0,4002.0
20260525,CU,主力(国君+东证+中财),75438.0,65072.0,10366.0
20260525,CU,偏产业(金瑞+五矿+光大),31651.0,82268.0,-50617.0
20260526,CU,杭州帮(永安),13939.0,738.0,13201.0
20260526,CU,外资(高盛+摩根),0.0,0.0,0.0
20260526,CU,主力(国君+东证+中财),74089.0,64260.0,9829.0
20260526,CU,偏产业(金瑞+五矿+光大),30221.0,81123.0,-50902.0
20260527,CU,杭州帮(永安),13049.0,760.0,12289.0
20260527,CU,外资(高盛+摩根),0.0,0.0,0.0
20260527,CU,主力(国君+东证+中财),71258.0,64050.0,7208.0
20260527,CU,偏产业(金瑞+五矿+光大),31904.0,81275.0,-49371.0
20260528,CU,杭州帮(永安),12529.0,766.0,11763.0
20260528,CU,外资(高盛+摩根),0.0,0.0,0.0
20260528,CU,主力(国君+东证+中财),71091.0,66888.0,4203.0
20260528,CU,偏产业(金瑞+五矿+光大),32638.0,80231.0,-47593.0
20260529,CU,杭州帮(永安),11911.0,778.0,11133.0
